"LeftTag","LeftMaster","Date","Year","Ranch","Part","Sex.x","Age","Xloc","Yloc","AdjWt","HindFootLength","BodyLength","BCS","Lactation","RumpFat","Arrival_Time","Fecal","AnnualRain","rain_1month_Previous","rain_2month_Previous","rain_3month_Previous","rain_April","rain_March_April","rain_March_July","rain_July_August","Percent_Sand","AnnualBiomass","WoodyCover","Capt_Loc"
3167,"3167",2015-11-13,2015,"BV",NA,FALSE,6.5,553489.9153,2983141.844,41.730464,13.375,56.125,4,"No - Not lactating",NA,"14:22",85.31258515,674.3310546875,104.001000225544,135.704000672325,161.556000789627,115.700000345707,228.297999285161,436.648999432917,7.40800003707409,62.3695546470943,2675.29531078943,30.9705534996173,"BV"
4162,"4162",2015-11-13,2015,"BV",NA,FALSE,6.5,552285.1392,2982552.374,45.812792,13,55.5,2,"Yes - Lactating",NA,"12:09",159.8319245,673.47250191656,103.857205935983,135.374004871308,161.265655288774,115.769419303706,228.39848797288,436.08989927355,7.31612287905223,64.4667348576503,2684.11573990975,25.110875596865,"BV"
4165,"4165",2015-11-13,2015,"BV",NA,FALSE,2.5,553675.0322,2982672.997,36.28736,13.375,53.25,2,"Yes - Lactating",NA,"14:00",88.84808996,674.3310546875,104.001000225544,135.704000672325,161.556000789627,115.700000345707,228.297999285162,436.648999432917,7.40800003707409,63.6503409193202,3358.75096318771,15.3086795522161,"BV"
5407,"5407",2015-11-13,2015,"BV",NA,FALSE,2.5,551795.0987,2980181.34,43.09124,13.125,52.75,3,"No - Not lactating",NA,"10:15",72.02949438,662.822113696472,101.982275584182,131.610555100629,158.067566030219,116.44209945887,229.204289230808,428.698305108752,6.09364081032424,67.8567462261535,1880.93501415467,44.3480168153851,"BV"
2113,"2113-8481",2015-10-30,2015,"ES",NA,FALSE,5.5,653901.4394,2938584.528,47.173568,13.25,52.625,4,"No - Not lactating",NA,"14:32",285.8613816,973.016543718723,197.82619246116,315.182897279605,405.473092144081,64.0321988056475,177.324060157032,354.203858165226,111.013830372634,54.9514957246557,2711.29579540894,33.1093289468191,"ES"
2128,"2128",2015-10-30,2015,"ES",NA,FALSE,5.5,654591.6527,2938425.02,47.173568,12.625,50.75,3,"Yes - Lactating",NA,"14:03",203.6259242,974.26864624968,199.352325947129,316.145594277416,406.304884100338,64.7402857802897,177.963749451384,355.427165489929,110.733911910588,56.7494508469564,2361.78182349673,21.5596310229921,"ES"
3355,"3355",2015-10-30,2015,"ES",NA,FALSE,5.5,653720.1467,2937182.701,43.544832,13.5,49,2,"No - Not lactating",NA,"13:14",84.89437138,975.467041015625,200.812997367,317.066997289425,407.100997119909,65.4180000275373,178.575999872759,356.598000193015,110.466000288725,53.8693662799681,4066.86956391128,24.4968375614867,"ES"
3361,"3361",2015-10-30,2015,"ES","E",FALSE,2.5,653883.1855,2936800.879,61.23492,13.5,55.25,3,"No - Not lactating",NA,"13:13",85.78893715,975.467041015625,200.812997367,317.066997289425,407.100997119909,65.4180000275373,178.575999872759,356.598000193015,110.466000288725,53.8954258464983,3935.00411824084,27.4701961880308,"ES"
4317,"4317",2015-10-30,2015,"ES",NA,FALSE,6.5,652142.1076,2943090.843,48.987936,13.25,58,2,"No - Not lactating",NA,"16:23",132.6057591,976.030910772797,185.399478175406,317.164256364373,407.187569305255,59.3493555609494,173.527149602519,348.982318065947,113.216861990034,62.3539100709501,3791.48021850963,17.7705699146897,"ES"
4319,"4319",2015-10-30,2015,"ES",NA,FALSE,5.5,652041.4875,2943017.848,42.637648,12.75,53,2,"Yes - Lactating",NA,"16:25",105.2637689,973.434252889866,186.296465668813,314.910312571516,405.034603047561,59.3246292877412,173.284907249953,348.806577659706,112.843563193772,62.395921499605,3725.33048335962,18.2477611137182,"ES"
4985,"4985-7799",2015-10-30,2015,"ES","E",FALSE,2.5,653927.8701,2938557.481,45.812792,13.625,51.375,2,"Yes - Lactating",NA,"14:19",193.4559749,973.269254622232,198.134210824336,315.377197684011,405.640972083304,64.1751114623194,177.453168161803,354.450757354111,110.95733464189,55.0361629529165,2690.42355386262,32.5848169375367,"ES"
5004,"5004",2015-10-30,2015,"ES","E",FALSE,2.5,649859.7086,2941109.208,51.709488,14,52,3,"No - Not lactating",NA,"16:22",116.0877701,1032.68798828125,203.969998496585,345.011996600777,422.482994887978,64.1780009455979,174.51600273326,391.616003604373,99.8069983720779,69.6622296191164,4683.46782711161,15.7869832674542,"ES"
2280,"2280",2015-10-31,2015,"ES","W",FALSE,6.5,651518.0066,2935231.934,41.276872,12.875,55.325,3,"No - Not lactating",NA,"14:09",152.4897257,1009.91527445643,256.317384425971,378.096995027553,465.178852902669,67.5239318070008,177.955983893606,377.899667507932,108.684717764621,62.9524833629768,4856.1127228761,17.709292019224,"ES"
2396,"2396",2015-10-31,2015,"ES","W",FALSE,3.5,651084,2936486.377,43.544832,13.125,51.5,4,"No - Not lactating",NA,"15:11",85.28600834,1034.47618299509,266.266586715139,391.985848351202,476.962887449947,69.0254194787259,177.51392477372,393.087334635824,107.414698585517,66.2536813332467,5089.37330580355,12.4321869489443,"ES"
3376,"3376",2015-10-31,2015,"ES","W",FALSE,3.5,650711.5399,2936559.751,40.82328,13.125,51.375,2,"Yes - Lactating",NA,"14:44",127.1421866,1043.69506835938,270.000998869538,397.199000235647,481.386000033468,69.5889997184277,177.347998812795,398.787993550068,106.937999557704,67.081224598012,4710.24872073433,14.3153924111517,"ES"
3506,"3506",2015-10-31,2015,"ES","W",FALSE,3.5,652457.139,2933365.635,37.194544,12.75,51.375,4,"No - Not lactating",NA,"14:07",104.630715,1052.1669921875,250.872995018959,388.541993871331,491.889992401004,73.4010008275509,183.62700243853,381.167000895366,127.123998045921,57.6539266057574,3582.56943162278,25.078701147979,"ES"
4331,"4331",2015-10-31,2015,"ES","W",FALSE,2.5,653719.2362,2936471.956,36.740952,13.25,52.375,3,"Yes - Lactating",NA,"11:16",124.0214296,975.467041015625,242.362996604061,358.616996526485,448.65099635697,65.4180000275373,178.575999872759,356.598000193015,110.466000288725,54.9645064946708,4148.7265020448,28.1148841157435,"ES"
5015,"5015",2015-10-31,2015,"ES","W",FALSE,1.5,553640.1423,2982522.985,33.112216,13,45.25,3,"No - Not lactating",NA,"10:01",55.96814662,674.3310546875,97.2430003881454,146.314000746235,148.513000702485,115.700000345707,228.297999285161,436.648999432917,7.40800003707409,63.8468169933211,3419.88829802627,13.8800871113406,"ES"
5017,"5017",2015-10-31,2015,"ES","W",FALSE,1.5,652759.7747,2938480.404,37.194544,14.125,49.5,3,"No - Not lactating",NA,"10:13",92.87791251,973.824460883619,241.629715892803,358.622864214191,448.82859280899,64.4890907988418,177.7368186559,354.993195269125,110.833213430597,55.7894062373154,3716.10781303374,25.4560070799902,"ES"
5022,"5022",2015-10-31,2015,"ES","W",FALSE,3.5,652037.4905,2939569.725,43.09124,14.25,53.25,3,"Yes - Lactating",NA,"10:54",63.50178533,967.089662614065,238.209616976233,360.509622895994,451.123061262007,59.1670745024511,172.796471409003,347.472502970663,112.434920327636,58.8838939630973,5108.24092981298,20.1777411953245,"ES"
5038,"5038",2015-10-31,2015,"ES","W",FALSE,1.5,652118.0174,2933552.267,30.844256,13.5,48.625,3,"No - Not lactating",NA,"13:52",156.8061432,1055.31746517886,252.58439968163,390.521253471706,494.252337372943,73.5073052572725,183.598829249757,382.336899563706,127.651248016004,56.5860524997546,3336.45982016591,22.6652992600043,"ES"
5052,"5052",2015-10-31,2015,"ES","W",FALSE,1.5,654003.193,2940909.196,38.55532,14,49.625,3,"No - Not lactating",NA,"15:07",80.9348593,963.989074707031,237.23900226457,358.657998557668,449.891998882871,58.9269993007183,172.71199753508,345.383998215664,113.031999954954,57.9692999486752,3424.37029059777,23.6381710657027,"ES"
2772,"2772",2015-11-14,2015,"SAV","E",FALSE,3.5,526108.7716,2974226.085,52.16308,13.625,56.25,4,"No - Not lactating",NA,"11:14",137.6260782,801.213012695312,196.478002667427,224.916002586484,299.694002889097,139.81000171788,260.274000214413,436.187997624162,16.6440003812313,56.6678136257697,3069.08488217056,28.7045611240302,"SAVE"
5498,"5498",2015-11-14,2015,"SAV","E",FALSE,6.5,526153.3856,2973976.417,47.62716,13.875,57.375,4,"No - Not lactating",NA,"9:08",138.9065545,801.213012695312,196.478002667427,224.916002586484,299.694002889097,139.81000171788,260.274000214413,436.187997624162,16.6440003812313,56.7244580206038,3088.9303108723,29.9261625049698,"SAVE"
5512,"5512",2015-11-14,2015,"SAV","E",FALSE,6.5,527448.0421,2973208.959,47.173568,13.875,52,3,"No - Not lactating",NA,"9:53",113.3948664,780.651026561957,160.235356050063,186.358003480101,279.611533520548,143.018201128156,262.203461245943,433.069652604594,15.4021460449984,56.9517877385307,3725.06847394181,25.110888317171,"SAVE"
5518,"5518",2015-11-14,2015,"SAV","E",FALSE,3.5,528048.995,2973360.473,56.245408,14.5,60,2.5,"Yes - Lactating",NA,"10:05",114.5756321,779.473022460938,158.159000873566,184.149000868201,278.461001119576,143.202000107383,262.314000811195,432.891001418,15.3309997320175,57.5638621158596,3740.63816013965,25.8448628730449,"SAVE"
